WORD,N_OCCURRANCES,LENGTH,CLASS
would,62,5,-1
one,27,3,-1
vector,44,6,0
data,32,4,0
decision,32,8,1
boundary,27,8,1
class,27,5,0
going,22,5,-1
see,19,3,-1
center,19,6,0
good,18,4,-1
two,18,3,0
classes,18,7,0
right,17,5,-1
red,16,3,0
squirrel,16,8,1
covariance,16,10,1
projection,15,10,1
left,14,4,-1
want,13,4,-1
say,12,3,-1
put,12,3,-1
fld,12,3,0
know,11,4,-1
go,11,2,-1
tell,11,4,-1
things,11,6,-1
difference,11,10,1
us,11,2,-1
get,10,3,-1
linear,10,6,0
project,10,7,0
yeah,10,4,-1
line,10,4,0
could,9,5,-1
yes,9,3,-1
really,9,6,-1
case,9,4,-1
make,9,4,-1
way,9,3,-1
said,8,4,-1
discriminant,8,12,1
think,8,5,-1
cannot,8,6,-1
point,8,5,0
blue,8,4,0
direction,8,9,1
onto,8,4,-1
another,8,7,-1
question,8,8,0
like,8,4,-1
use,8,3,-1
distance,8,8,1
somewhere,7,9,-1
also,7,4,-1
got,7,3,-1
best,7,4,-1
dimensions,7,10,1
thing,7,5,-1
problem,7,7,1
origin,7,6,1
able,7,4,-1
different,7,9,0
better,7,6,0
within,7,6,-1
spread,7,6,1
matrix,7,6,1
average,7,7,1
many,7,4,-1
change,6,6,-1
name,6,4,-1
okay,6,4,-1
still,6,5,-1
squirrels,6,9,1
grey,6,4,1
show,6,4,-1
kind,6,4,-1
draw,6,4,0
drawn,6,5,0
write,6,5,0
let,6,3,-1
points,6,6,0
always,6,6,-1
sw,6,2,0
matlab,6,6,0
mahalanobis,6,11,1
algorithm,6,9,0
20x1,6,4,0
actually,5,8,-1
around,5,6,-1
sense,5,5,0
fisher,5,6,0
dimension,5,9,1
time,5,4,0
becomes,5,7,-1
much,5,4,-1
scatter,5,7,1
fun,5,3,-1
pca,5,3,0
important,5,9,1
respect,5,7,1
smeared,5,7,1
away,5,4,-1
3,4,1,0
today,4,5,-1
along,4,5,-1
anyway,4,6,-1
went,4,4,-1
set,4,3,-1
look,4,4,-1
else,4,4,-1
math,4,4,0
ask,4,3,-1
mass,4,4,1
b,4,1,0
hopefully,4,9,-1
understand,4,10,-1
first,4,5,-1
goes,4,4,-1
questions,4,9,-1
trying,4,6,-1
give,4,4,-1
nice,4,4,-1
magenta,4,7,1
centers,4,7,0
means,4,5,0
directions,4,10,0
need,4,4,-1
correct,4,7,-1
certain,4,7,-1
makes,4,5,-1
variance,4,8,1
separate,4,8,0
well,4,4,-1
amount,4,6,-1
says,4,4,-1
formula,4,7,1
probably,4,8,-1
distances,4,9,1
2,3,1,0
haha,3,4,-1
often,3,5,-1
analysis,3,8,1
professor,3,9,0
guess,3,5,-1
something,3,9,-1
later,3,5,-1
jason,3,5,0
times,3,5,-1
looking,3,7,-1
easily,3,6,-1
long,3,4,-1
created,3,7,-1
length,3,6,-1
bottom,3,6,-1
world,3,5,0
number,3,6,0
perpendicular,3,13,1
three,3,5,-1
4d,3,2,0
hyperplane,3,10,1
people,3,6,-1
great,3,5,-1
otherwise,3,9,-1
figure,3,6,0
animations,3,10,1
fix,3,3,-1
square,3,6,0
